planta,largo_sepalo,ancho_sepalo,largo_petalo,ancho_petalo,especie
planta1,5.1,3.5,1.4,0.2,Iris-setosa
planta2,4.9,3,1.4,0.2,Iris-setosa
planta3,4.7,3.2,1.3,0.2,Iris-setosa
planta4,4.6,3.1,1.5,0.2,Iris-setosa
planta5,5,3.6,1.4,0.2,Iris-setosa
planta6,5.4,3.9,1.7,0.4,Iris-setosa
planta7,4.6,3.4,1.4,0.3,Iris-setosa
planta8,5,3.4,1.5,0.2,Iris-setosa
planta9,4.4,2.9,1.4,0.2,Iris-setosa
planta10,4.9,3.1,1.5,0.1,Iris-setosa
planta11,5.4,3.7,1.5,0.2,Iris-setosa
planta12,4.8,3.4,1.6,0.2,Iris-setosa
planta13,4.8,3,1.4,0.1,Iris-setosa
planta14,4.3,3,1.1,0.1,Iris-setosa
planta15,5.8,4,1.2,0.2,Iris-setosa
planta16,5.7,4.4,1.5,0.4,Iris-setosa
planta17,5.4,3.9,1.3,0.4,Iris-setosa
planta18,5.1,3.5,1.4,0.3,Iris-setosa
planta19,5.7,3.8,1.7,0.3,Iris-setosa
planta20,5.1,3.8,1.5,0.3,Iris-setosa
planta21,5.4,3.4,1.7,0.2,Iris-setosa
planta22,5.1,3.7,1.5,0.4,Iris-setosa
planta23,4.6,3.6,1,0.2,Iris-setosa
planta24,5.1,3.3,1.7,0.5,Iris-setosa
planta25,4.8,3.4,1.9,0.2,Iris-setosa
planta26,5,3,1.6,0.2,Iris-setosa
planta27,5,3.4,1.6,0.4,Iris-setosa
planta28,5.2,3.5,1.5,0.2,Iris-setosa
planta29,5.2,3.4,1.4,0.2,Iris-setosa
planta30,4.7,3.2,1.6,0.2,Iris-setosa
planta31,4.8,3.1,1.6,0.2,Iris-setosa
planta32,5.4,3.4,1.5,0.4,Iris-setosa
planta33,5.2,4.1,1.5,0.1,Iris-setosa
planta34,5.5,4.2,1.4,0.2,Iris-setosa
planta35,4.9,3.1,1.5,0.1,Iris-setosa
planta36,5,3.2,1.2,0.2,Iris-setosa
planta37,5.5,3.5,1.3,0.2,Iris-setosa
planta38,4.9,3.1,1.5,0.1,Iris-setosa
planta39,4.4,3,1.3,0.2,Iris-setosa
planta40,5.1,3.4,1.5,0.2,Iris-setosa
planta41,5,3.5,1.3,0.3,Iris-setosa
planta42,4.5,2.3,1.3,0.3,Iris-setosa
planta43,4.4,3.2,1.3,0.2,Iris-setosa
planta44,5,3.5,1.6,0.6,Iris-setosa
