Fecha,Nacimientos,Muertes
1841-01-01 00:00:00,254,37
1841-02-01 00:00:00,239,18
1841-03-01 00:00:00,277,12
1841-04-01 00:00:00,255,4
1841-05-01 00:00:00,255,2
1841-06-01 00:00:00,200,10
1841-07-01 00:00:00,190,16
1841-08-01 00:00:00,222,3
1841-09-01 00:00:00,213,4
1841-10-01 00:00:00,236,26
1841-11-01 00:00:00,235,53
1842-01-01 00:00:00,307,64
1842-02-01 00:00:00,311,38
1842-03-01 00:00:00,264,27
1842-04-01 00:00:00,242,26
1842-05-01 00:00:00,310,10
1842-06-01 00:00:00,273,18
1842-07-01 00:00:00,231,48
1842-08-01 00:00:00,216,55
1842-09-01 00:00:00,223,41
1842-10-01 00:00:00,242,71
1842-11-01 00:00:00,209,48
1842-12-01 00:00:00,239,75
1843-01-01 00:00:00,272,52
1843-02-01 00:00:00,263,42
1843-03-01 00:00:00,266,33
1843-04-01 00:00:00,285,34
1843-05-01 00:00:00,246,15
1843-06-01 00:00:00,196,8
1843-07-01 00:00:00,191,1
1843-08-01 00:00:00,193,3
1843-09-01 00:00:00,221,5
1843-10-01 00:00:00,250,44
1843-11-01 00:00:00,252,18
1843-12-01 00:00:00,236,19
1844-01-01 00:00:00,244,37
1844-02-01 00:00:00,257,29
1844-03-01 00:00:00,276,47
1844-04-01 00:00:00,208,36
1844-05-01 00:00:00,240,14
1844-06-01 00:00:00,224,6
1844-07-01 00:00:00,206,9
1844-08-01 00:00:00,269,17
1844-09-01 00:00:00,245,3
1844-10-01 00:00:00,248,8
1844-11-01 00:00:00,245,27
1844-12-01 00:00:00,256,27
1845-01-01 00:00:00,303,23
1845-02-01 00:00:00,274,13
1845-03-01 00:00:00,292,13
1845-04-01 00:00:00,260,11
1845-05-01 00:00:00,296,13
1845-06-01 00:00:00,280,20
1845-07-01 00:00:00,245,15
1845-08-01 00:00:00,251,9
1845-09-01 00:00:00,237,25
1845-10-01 00:00:00,283,42
1845-11-01 00:00:00,265,29
1845-12-01 00:00:00,267,28
1846-01-01 00:00:00,336,45
1846-02-01 00:00:00,293,53
1846-03-01 00:00:00,311,48
1846-04-01 00:00:00,253,48
1846-05-01 00:00:00,305,41
1846-06-01 00:00:00,266,27
1846-07-01 00:00:00,252,33
1846-08-01 00:00:00,216,39
1846-09-01 00:00:00,271,39
1846-10-01 00:00:00,254,38
1846-11-01 00:00:00,297,32
1846-12-01 00:00:00,298,16
1847-01-01 00:00:00,311,10
1847-02-01 00:00:00,312,6
1847-03-01 00:00:00,305,11
1847-04-01 00:00:00,312,57
1847-05-01 00:00:00,294,36
1847-06-01 00:00:00,268,6
1847-07-01 00:00:00,250,3
1847-08-01 00:00:00,264,5
1847-09-01 00:00:00,262,12
1847-10-01 00:00:00,278,11
1847-11-01 00:00:00,246,11
1847-12-01 00:00:00,273,8
1848-01-01 00:00:00,283,10
1848-02-01 00:00:00,291,2
1848-03-01 00:00:00,276,0
1848-04-01 00:00:00,305,2
1848-05-01 00:00:00,313,3
1848-06-01 00:00:00,264,3
1848-07-01 00:00:00,269,1
1848-08-01 00:00:00,261,0
1848-09-01 00:00:00,312,3
1848-10-01 00:00:00,299,7
1848-11-01 00:00:00,310,9
1848-12-01 00:00:00,373,5
1849-01-01 00:00:00,403,9
1849-02-01 00:00:00,389,12
1849-03-01 00:00:00,406,20
